Carbon dioxide (ppm);Surface temperature change (ºC);Time (yr BP)
283,2325031;0,108438583;1000
278,0458112;0,209664906;2000
275,4241056;-0,090596166;3000
272,8180045;0,188082965;4000
269,1344717;0,225929875;5000
264,3329256;0,442542433;6000
260,7620629;-0,023177006;7000
259,9483117;-0,218377669;8000
261,4238921;0,283094296;9000
264,0636036;0,748918738;10000
264,333924;0,670944056;11000
253,7131204;-0,423260677;12000
241,7050892;-2,758733581;13000
237,9271011;-2,727396534;14000
231,2741784;-2,86560392;15000
220,3501512;-4,187653654;16000
202,404668;-6,60202571;17000
189,9793894;-8,096608908;18000
190,1074283;-8,519792246;19000
192,169303;-8,701393395;20000
189,7931901;-9,018495166;21000
188,0875268;-8,951043702;22000
189,2418773;-8,759213631;23000
186,4899324;-8,803772298;24000
182,3195471;-9,161054467;25000
184,8476733;-9,21573826;26000
188,7631325;-9,197409953;27000
190,63145;-8,347750528;28000
191,6845971;-7,723216133;29000
189,0434391;-8,442516923;30000
188,1951137;-8,469318755;31000
193,9327499;-7,731205862;32000
196,3005445;-8,148515517;33000
196,5437869;-8,093520033;34000
201,022959;-7,131169641;35000
201,9041835;-7,542625672;36000
206,6676677;-7,220208928;37000
209,8705759;-5,878377033;38000
205,0445293;-6,096243357;39000
197,8397251;-7,416692682;40000
200,8908814;-7,375232962;41000
202,3113073;-7,569588123;42000
203,755657;-6,678516723;43000
204,3948076;-7,103892725;44000
210,885274;-6,588200432;45000
217,9821513;-5,148894763;46000
211,4478347;-5,270246442;47000
204,9041342;-6,356823432;48000
202,3093056;-6,735666273;49000
204,8010855;-6,642732838;50000
209,0480693;-6,317762299;51000
216,0019123;-5,671698103;52000
221,5066284;-5,340574463;53000
219,8526536;-5,513016549;54000
214,2065216;-6,041988168;55000
210,8704457;-6,684246709;56000
215,1594171;-5,695421423;57000
222,3265238;-5,223645547;58000
226,7309836;-4,868694986;59000
218,7183419;-5,54936989;60000
211,8669255;-6,182889959;61000
206,7026764;-6,884220661;62000
200,8946613;-7,692215618;63000
199,1342938;-7,171393043;64000
201,9515994;-7,766647841;65000
202,3906083;-8,105987233;66000
204,1776505;-7,98935875;67000
202,2654138;-8,08457437;68000
205,8512091;-7,724807197;69000
215,6998871;-6,801078004;70000
228,5811725;-5,565386771;71000
236,3131163;-6,065164101;72000
232,4122333;-6,172558963;73000
234,0775942;-4,94129813;74000
243,2147783;-4,79341324;75000
244,6721279;-5,860989374;76000
233,5884789;-5,403831306;77000
225,9935395;-5,191700866;78000
227,5725159;-4,637543076;79000
232,1609449;-3,826642867;80000
