year;co2
-51.03;0.06
-48;0.37
-46.28;0.1
-44.41;0.16
-43.08;0.04
-42.31;0.22
-41.13;0.1
-39.97;0.16
-39.41;0.14
-38.97;0.13
-38.07;0.4
-37.21;0.03
-36.62;0.09
-36.14;0.06
-35.76;0.14
-34.92;0.46
-33.08;0.1
-33.03;0.3
-29.14;0.37
-26.8;0.63
-26.67;1.27
-25.57;0.04
-24.13;0.63
-22.09;0.63
-22.04;2.21
-20.87;1.34
-20.66;1.16
-20.64;0.18
-20.22;0.63
-19.42;0.63
-18.98;0.63
-18.81;0.63
-18.54;1.16
-16.79;1.16
-16.55;1.34
-15.87;1.74
-15.3;0.95
-15.23;0.63
-13.56;0.94
-13.2;0.63
-12.62;0.9
-12.54;0.63
-12.4;0.63
-12.32;0.63
-11.72;0.64
-10.57;1.72
-10.31;1.81
-9.09;1.81
-8.56;0.94
-8.1;1.72
-7.87;0.41
-7.26;1.16
-7.2;0.13
-7.1;0.79
-6.16;0.64
-4.8;2.21
-3.79;0.63
-3.71;0.63
-3.56;1.42
-2.38;0.41
-0.25;0.64
0.33;2.21
1.23;0.41
2.29;2.21
3.34;0.63
3.37;2.21
4.38;2.21
4.44;2.08
4.61;3.12
5.04;2.56
5.24;0.41
5.49;0.63
6.43;2.21
7.79;2.77
7.96;2.56
8.22;2.21
9.16;2.21
9.25;1.16
10.03;0.64
10.41;0.63
10.78;0.63
11.03;2.17
11.84;0.64
11.87;1.34
12.13;2.21
12.23;0.13
13.14;1.16
14.13;2.87
14.29;1.16
14.94;1.16
16.12;0.63
16.41;2.56
17.22;1.16
17.46;2.21
17.71;0.63
19.17;1.45
20.61;0.07
21.26;0.64
21.46;0.94
21.84;0.64
22.2;3.18
24.69;0.63
25.25;1.72
27.16;3.82
27.49;0.94
30.29;1.16
31.33;2.21
32.13;0.67
34.21;0.63
35.61;2.45
37.48;0.63
38.71;1.72
38.9;1.72
39.28;2.56
40.24;1.16
41.48;2.21
44.23;0.64
44.46;0.63
44.65;0.63
46.09;0.94
48.3;1.33
49.82;1.16
51.06;2.21
51.34;0.63
56.24;0.94
56.34;1.72
56.94;0.64
57.12;1.72
57.61;0.63
60.13;1.16
60.99;0.68
62.61;0.63
64.4;2.01
65.82;0.62
66.21;0.94
67.08;0.95
70.05;1.16
73.09;0.63
76.26;2.21
77.17;1.34
79.96;1.16
80.34;0.63
81.59;1.72
82.27;0.41
83.26;1.68
85.87;1.16
87.02;0.94
88.17;0.63
91.16;0.41
93.38;1.16
95.28;0.63
96.29;2.21
98.89;0.63
99.17;0.41
99.74;1.16
102.68;0.64
104.1;1.34
105.35;1.16
105.54;1.16
106.71;1.16
109.17;0.63
113.3;0.94
116.82;0.94
117.13;0.95
123.08;0.64
125.26;0.94
136.34;0.94
150.66;0.79
153.53;1.72
154.06;0.63
